ranking	title	director	description	link
39	400 Blows, The (1959)	François Truffaut	The directorial debut of film critic François Truffaut, this autobiographical story of a wayward child marked a fresh start for French cinema.	/sightandsoundpolls/2012/film/4ce2b6b3b75b7
41	Pather Panchali (1955)	Satyajit Ray	The first part of Satyajit Ray’s acclaimed Apu Trilogy is a lyrical, closely observed story of a peasant family in 1920s rural India.	/sightandsoundpolls/2012/film/4ce2b6b2b59cc
41	Journey to Italy (1954)	Roberto Rossellini	This devastating study of a marriage coming apart during a holiday in Italy is the best known of the films Roberto Rossellini made with his wife Ingrid Bergman.	/sightandsoundpolls/2012/film/4ce2b6b9d14d8
43	Pierrot le Fou (1965)	Jean-Luc Godard	Riffing on the classic couple-on-the run movie, enfant terrible Jean-Luc Godard took the narrative innovations of the French New Wave close to breaking point.	/sightandsoundpolls/2012/film/4ce2b6b310bc0
43	Close-Up (1989)	Abbas Kiarostami		/sightandsoundpolls/2012/film/4ce2b7a39630e
43	Some Like It Hot (1959)	Billy Wilder	On the run from Chicago mobsters, two musicians don drag to join an all-girl jazz band fronted by Sugar Kane (Marilyn Monroe) in Billy Wilder’s hugely popular comedy.	/sightandsoundpolls/2012/film/4ce2b76e98a5c
43	Playtime (1967)	Jacques Tati		/sightandsoundpolls/2012/film/4ce2b6b3291db
43	Gertrud (1964)	Carl Theodor Dreyer		/sightandsoundpolls/2012/film/4ce2b6ab03131
48	undefined	Jean-Luc Godard		undefined
48	Battle of Algiers, The (1966)	Gillo Pontecorvo	Gillo Pontecorvo’s masterpiece about the turbulent last years of French colonial rule in Algeria, seen from the perspective of both the guerrilla revolutionaries and the French authorities.	/sightandsoundpolls/2012/film/4ce2b6f24787d
50	City Lights (1931)	Charles Chaplin	The Tramp wins the affections of a blind flower seller (Virginia Cherrill) in this hilarious but heartbreaking comedy – one of Charlie Chaplin’s uncontested masterpieces.	/sightandsoundpolls/2012/film/4ce2b6bbb8e51
50	Ugetsu Monogatari (1953)	Mizoguchi Kenji	In war-torn 16th-century Japan, two men leave their wives to seek wealth and glory in Kenji Mizoguchi’s tragic supernatural classic.	/sightandsoundpolls/2012/film/4ce2b6b94daff
50	Jetée, La (1962)	Chris Marker		/sightandsoundpolls/2012/film/4ce2b7b9372f0
53	North by Northwest (1959)	Alfred Hitchcock		/sightandsoundpolls/2012/film/4ce2b6bf4e912
53	Rear Window (1954)	Alfred Hitchcock		/sightandsoundpolls/2012/film/4ce2b6955c6ba
53	Raging Bull (1980)	Martin Scorsese	Starring Robert De Niro as the middleweight boxer Jake La Motta, Scorsese’s biopic is widely acknowledged as one of the greatest films of the 1980s.	/sightandsoundpolls/2012/film/4ce2b6bf2249d
56	M (1931)	Fritz Lang	For his first sound film Fritz Lang turned to the story of a child killer (Peter Lorre), who is hunted down by police and underworld alike.	/sightandsoundpolls/2012/film/4ce2b6af6aedd
57	Leopard, The (1963)	Luchino Visconti		/sightandsoundpolls/2012/film/4ce2b6aadb03d
57	Touch of Evil (1958)	Orson Welles	Orson Welles’ return to Hollywood after ten years working in Europe is a sleazy border tale in which he takes centre stage as gargantuan detective Hank Quinlan.	/sightandsoundpolls/2012/film/4ce2b6b8bc241
59	Sherlock Jr (1924)	Buster Keaton	Keaton’s third feature is a breathtakingly virtuosic display of every silent comedy technique imaginable, from his own formidable physical skills to some then-groundbreaking camera trickery.	/sightandsoundpolls/2012/film/4ce2b6b5b13f5
59	Barry Lyndon (1975)	Stanley Kubrick	Stanley Kubrick’s exquisitely detailed adaptation of William Makepeace Thackeray’s novel about the picaresque exploits of an 18th century Irish adventurer.	/sightandsoundpolls/2012/film/4ce2b6bc285f7
59	Maman et la putain, La (1973)	Jean Eustache		/sightandsoundpolls/2012/film/4ce2b73f2ec00
59	Sansho Dayu (1954)	Mizoguchi Kenji	This sweeping historical tragedy about two children separated from their parents and sold into slavery continued a run of late masterpieces from Kenji Mizoguchi.	/sightandsoundpolls/2012/film/4ce2b6b50a0d5
63	Wild Strawberries (1957)	Ingmar Bergman	On a road trip to receive an honorary degree, an elderly academic (Victor Sjöstrom) looks back over his life in Ingmar Bergman’s art-cinema classic.	/sightandsoundpolls/2012/film/4ce2b6b6466ce
63	Modern Times (1936)	Charles Chaplin	The final outing for Charlie Chaplin’s beloved Tramp character finds him enduring the pratfalls and humiliations of work in an increasingly mechanised society.	/sightandsoundpolls/2012/film/4ce2b6bbbf1e2
63	Sunset Blvd. (1950)	Billy Wilder	The most caustic of European émigré directors, Wilder explored the movie industry and the delusions of stardom in Hollywood’s great poison pen letter to itself.	/sightandsoundpolls/2012/film/4ce2b6b757144
63	Night of the Hunter, The (1955)	Charles Laughton	Actor Charles Laughton’s only film as a director is a complete one-off, a terrifying parable of the corruption of innocence featuring a career-best performance from Robert Mitchum.	/sightandsoundpolls/2012/film/4ce2b6b185765
63	Pickpocket (1959)	Robert Bresson	This examination of the method and morality of a pickpocket on the streets of Paris marked a refinement of Robert Bresson’s spare, unsentimental aesthetic.	/sightandsoundpolls/2012/film/4ce2b6b30995b
63	Rio Bravo (1958)	Howard Hawks	A decade after Red River (1947), Howard Hawks reteamed with John Wayne for this rambling western riffing on the director’s usual themes of friendship and professionalism.	/sightandsoundpolls/2012/film/4ce2b6b461386
69	Blade Runner (1982)	Ridley Scott	Loosely adapted from a novel by Phillip K. Dick, Ridley Scott’s dark, saturated vision of 2019 Los Angeles is a classic of popular science-fiction cinema.	/sightandsoundpolls/2012/film/4ce2b69ac89d8
69	Blue Velvet (1986)	David Lynch	In David Lynch’s idiosyncratic drama, a young man’s curiosity draws him into the twisted criminal sub-culture operating beneath the placid surface of his cosy hometown.	/sightandsoundpolls/2012/film/4ce2b6f6c85c4
69	Sans Soleil (1982)	Chris Marker		/sightandsoundpolls/2012/film/4ce2b7663dc08
69	Man Escaped, A (1956)	Robert Bresson		/sightandsoundpolls/2012/film/4ce2b6a7da289
73	Third Man, The (1949)	Carol Reed	An American abroad in post-war Vienna pursues his missing friend down a rabbit hole of intrigue and moral corruption in Carol Reed’s masterpiece of European noir.	/sightandsoundpolls/2012/film/4ce2b6b824610
73	eclisse, L' (1962)	Michelangelo Antonioni		/sightandsoundpolls/2012/film/4ce2b6a9624ac
73	enfants du paradis, Les (1945)	Marcel Carné	Made during the Nazi occupation of France, Marcel Carne’s romantic epic of the 19th-century theatre world is a life-affirming tribute to love, Paris and the stage.	/sightandsoundpolls/2012/film/4ce2b71208b72
73	grande illusion, La (1937)	Jean Renoir	Jean&nbsp;Renoir’s pacifist classic is set in a German prisoner-of-war camp during WWI, where class kinship is felt across national boundaries.	/sightandsoundpolls/2012/film/4ce2b6ab6f1c7
73	Nashville (1975)	Robert Altman	Made to celebrate the bicentennial of American Independence, Robert Altman’s footloose epic blends the lives of 24 characters in the capital of country music.	/sightandsoundpolls/2012/film/4ce2b6b143f57
78	Chinatown (1974)	Roman Polanski	Roman Polanski’s brilliant thriller stars Jack Nicholson as a private eye uncovering corruption in 1930s Los Angeles, a desert town where water equals power.	/sightandsoundpolls/2012/film/4ce2b6a78d5ab
78	Beau Travail (1998)	Claire Denis		/sightandsoundpolls/2012/film/4ce2b8203c690
78	Once Upon a Time in the West (1968)	Sergio Leone	The railroad rushes westward, bringing power and progress with it, in Sergio Leone’s grandest spaghetti western, an operatic homage to Hollywood’s mythology of the Old West.	/sightandsoundpolls/2012/film/4ce2b6a754af6
81	Magnificent Ambersons, The (1942)	Orson Welles	Among the most famous of broken films, Orson Welles’ masterful follow-up to Citizen Kane was taken out of his control and re-edited by the studio.	/sightandsoundpolls/2012/film/4ce2b6af8f820
81	Lawrence of Arabia (1962)	David Lean	An eccentric English officer inspires the Arabs to unite against the Turks during WWI in David Lean’s seven Oscar-winner, an epic in every sense.	/sightandsoundpolls/2012/film/4ce2b6aea50ea
81	Spirit of the Beehive, The (1973)	Víctor Erice		/sightandsoundpolls/2012/film/4ce2b6a99de5f
84	Fanny and Alexander (1984)	Ingmar Bergman	The grand summation of Ingmar Bergman’s career, this epic family drama drew on the director’s own childhood experiences in early 20th century Sweden.	/sightandsoundpolls/2012/film/4ce2b69415af8
84	Casablanca (1942)	Michael Curtiz	Everybody comes to Rick’s bar, including expat Rick’s (Humphrey Bogart) former lover Ilsa (Ingrid Bergman), in one of Hollywood’s most-loved romantic melodramas.	/sightandsoundpolls/2012/film/4ce2b82020179
84	Colour of Pomegranates, The (1968)	Sergei Parajanov		/sightandsoundpolls/2012/film/4ce2b6e73c109
84	Greed (1925)	Erich von Stroheim	Silent cinema’s most famous ‘lost’ film, Von Stroheim’s monumental study of three ordinary lives destroyed by avarice was ruinously edited down by the studio.	/sightandsoundpolls/2012/film/4ce2b7219ffd8
84	Brighter Summer Day, A (1991)	Edward Yang		/sightandsoundpolls/2012/film/4ce2b7b78a3f5
84	Wild Bunch, The (1969)	Sam Peckinpah	A gang of outlaws goes out in a blaze of violence and glory in Sam Peckinpah’s elegiac film about the dying days of the wild west.	/sightandsoundpolls/2012/film/4ce2b6bad3a0d
90	Partie de campagne (1936)	Jean Renoir		/sightandsoundpolls/2012/film/4ce2b6b2a3772
90	Aguirre, Wrath of God (1972)	Werner Herzog		/sightandsoundpolls/2012/film/4ce2b6a54c395
90	Matter of Life and Death, A (1946)	Michael Powell/Emeric Pressburger	In Michael Powell and Emeric Pressburger’s audacious Technicolor fantasy, WWII airman David Niven finds himself summoned to heaven after surviving a plane crash that should have killed him.	/sightandsoundpolls/2012/film/4ce2b6b0210f1
93	Seventh Seal, The (1957)	Ingmar Bergman	During the plague-ravaged middle ages, a knight buys time for himself by playing chess with Death in Bergman’s much-imitated arthouse classic.	/sightandsoundpolls/2012/film/4ce2b6b61b4e8
93	chien andalou, Un (1928)	Luis Buñuel		/sightandsoundpolls/2012/film/4ce2b6ffc05d8
93	Intolerance (1916)	D.W. Griffith	Responding to criticisms of racism for his record-breaking The Birth of a Nation, film-making pioneer D.W. Griffith made this epic drama depicting intolerance through the ages.	/sightandsoundpolls/2012/film/4ce2b6bbaea80
93	One and a Two, A (1999)	Edward Yang		/sightandsoundpolls/2012/film/4ce2b847b975d
93	Life and Death of Colonel Blimp, The (1943)	Michael Powell/Emeric Pressburger		/sightandsoundpolls/2012/film/4ce2b6e31bcf4
93	Touki Bouki (1973)	Djibril Diop Mambéty		/sightandsoundpolls/2012/film/4ce2b77b4418a
93	Fear Eats the Soul (1974)	Rainer Werner Fassbinder		/sightandsoundpolls/2012/film/4ce2b6bfdd960
93	Imitation of Life (1959)	Douglas Sirk		/sightandsoundpolls/2012/film/4ce2b6ad028a9
93	Madame de… (1953)	Max Ophüls	Tragic consequences ensue when a society woman pawns the earrings her husband gave her, in Max Ophuls’ graceful and opulent period drama.	/sightandsoundpolls/2012/film/4ce2b6af779a6
102	Wavelength (1967)	Michael Snow		/sightandsoundpolls/2012/film/4ce2b6ba49e47
102	Conformist, The (1970)	Bernardo Bertolucci	Bernardo Bertolucci’s stylish period thriller stars Jean-Louis Trintignant as a repressed bureaucrat in Mussolini’s Italy who is assigned to kill his former professor.	/sightandsoundpolls/2012/film/4ce2b6a7e0681
102	Travelling Players, The (1975)	Theodoros Angelopoulos	Weaving together recent Greek history and the wanderings of a travelling theatre troupe, Theo Angelopoulos’ four-hour epic posited a new form of storytelling.	/sightandsoundpolls/2012/film/4ce2b6b81dc84
102	Meshes of the Afternoon (1943)	Maya Deren/Alexander Hammid		/sightandsoundpolls/2012/film/4ce2b6b0511e9
102	Two or Three Things I Know About Her… (1967)	Jean-Luc Godard	Moving ever further away from narrative, Jean-Luc Godard equates consumerism with prostitution in this radical portrait of a day in the life of a Parisian call girl.	/sightandsoundpolls/2012/film/4ce2b70b25114
102	Tree of Life, The (2010)	Terrence Malick		/sightandsoundpolls/2012/film/4f4b8bf00dfa0
102	Ivan the Terrible (1945)	Sergei M Eisenstein	The first part of Sergei Eisenstein’s truncated masterpiece about the 16th-century Russian Tsar sees young Ivan attempting to unite Russia under a single ruler.	/sightandsoundpolls/2012/film/4ce2b6ad684f4
102	Last Year At Marienbad (1961)	Alain Resnais	In Alain Resnais’ infamous art-house teaser, from a screenplay by Alain Robbe-Grillet, a male guest at a chateau claims he met a woman there the year before.	/sightandsoundpolls/2012/film/4ce2b6bfecaeb
110	Lady Eve, The (1941)	Preston Sturges	Glamorous conwoman Barbara Stanwyck gets millionaire boffin Henry Fonda in her sights in Preston Sturges’s sparkling screwball comedy.	/sightandsoundpolls/2012/film/4ce2b6ae66430
110	olvidados, Los (1950)	Luis Buñuel		/sightandsoundpolls/2012/film/4ce2b6b209ea3
110	Bringing Up Baby (1938)	Howard Hawks		/sightandsoundpolls/2012/film/4ce2b6a673516
110	Performance (1970)	Donald Cammell/Nicolas Roeg	Nicolas Roeg’s directing career began with this explicit and experimental thriller about a hunted gangster taking refuge with a reclusive rock star.	/sightandsoundpolls/2012/film/4ce2b6b2d8659
110	Passenger, The (1974)	Michelangelo Antonioni		/sightandsoundpolls/2012/film/4ce2b6b392e27
110	Viridiana (1961)	Luis Buñuel	In Luis Buñuel’s controversial masterpiece, a novice nun gets more than she bargains for when she turns her dead uncle’s estate into a home for beggars.	/sightandsoundpolls/2012/film/4ce2b6b9efb3b
110	Age d'Or, L' (1930)	Luis Buñuel	Banned for decades, Buñuel’s feature debut is a gleefully inventive, wickedly funny and still profoundly disturbing Surrealist assault on every social and moral convention imaginable.	/sightandsoundpolls/2012/film/4ce2b6a5074d0
117	Canterbury Tale, A (1944)	Michael Powell/Emeric Pressburger		/sightandsoundpolls/2012/film/4ce2b6a712b88
117	Mouchette (1966)	Robert Bresson		/sightandsoundpolls/2012/film/4ce2b6b0d7f12
117	Dr. Strangelove (1963)	Stanley Kubrick	Peter Sellers plays three separate roles in Stanley Kubrick’s mordant Cold War comedy in which insanity and political manoeuvrings lead to nuclear meltdown.	/sightandsoundpolls/2012/film/4ce2b6a906793
117	Nosferatu (1922)	F. W. Murnau	Cinema’s original vampire movie, this copyright-infringing adaptation of Bram Stoker’s Dracula is one of the great classics of German expressionist cinema.	/sightandsoundpolls/2012/film/4ce2b74e11d41
117	Red Shoes, The (1948)	Michael Powell/Emeric Pressburger	In Michael Powell and Emeric Pressburger’s visually ravishing Technicolor masterpiece, a young ballerina is torn between the demands of love and art.	/sightandsoundpolls/2012/film/4ce2b6b416bde
117	Trouble in Paradise (1932)	Ernst Lubitsch		/sightandsoundpolls/2012/film/4ce2b6b90d54d
117	City of Sadness, A (1989)	Hsiao-hsien Hou		/sightandsoundpolls/2012/film/4ce2b79ed25d8
117	Amarcord (1972)	Federico Fellini	Federico Fellini returned for inspiration to his own childhood in 1930s Rimini for this colourful comedy-drama about life in a small seaside town under Fascist rule.	/sightandsoundpolls/2012/film/4ce2b6b4b0e0c
117	Man Who Shot Liberty Valance, The (1962)	John Ford	The coming of civilisation brings an end to the wildness of the west in John Ford’s elegiac late film teaming John Wayne and James Stewart.	/sightandsoundpolls/2012/film/4ce2b6afe44fd
117	Days of Heaven (1978)	Terrence Malick		/sightandsoundpolls/2012/film/4ce2b6bcd514a
127	Spring in a Small Town (1948)	Fei Mu		/sightandsoundpolls/2012/film/4ce2b78d95bbe
127	Do The Right Thing (1989)	Spike Lee	On the hottest day of the summer New Yorkers’ similarly overheated tempers catalyse a full-scale race riot in Spike Lee’s breakthrough film, still all too relevant today.	/sightandsoundpolls/2012/film/4ce2b794e6dfb
127	Out 1 (1990)	Jacques Rivette		/sightandsoundpolls/2012/film/4ce2b753590cb
127	Tropical Malady (2004)	Apichatpong Weerasethakul		/sightandsoundpolls/2012/film/4ce2b8a69d6fb
127	River, The (1951)	Jean Renoir		/sightandsoundpolls/2012/film/4ce2b6b46ab2d
127	Jules et Jim (1962)	François Truffaut	Two friends fall for the same woman (Jeanne Moreau) in this effervescent French drama set at the time of the Great War.	/sightandsoundpolls/2012/film/4ce2b6adb948c
127	Pulp Fiction (1994)	Quentin Tarantino		/sightandsoundpolls/2012/film/4ce2b7c5c1618
127	Meet Me In St. Louis (1944)	Vincente Minnelli		/sightandsoundpolls/2012/film/4ce2b6b02dc27
127	argent, L' (1983)	Robert Bresson	Robert Bresson’s last film turns a Tolstoy novella about a forged banknote into a formidably focused meditation on the supposed root of all evil.	/sightandsoundpolls/2012/film/4ce2b6edeeb13
127	Ikiru (1952)	Akira Kurosawa	This study of a terminally ill civil servant seeking meaning in his life is one of Japanese director Akira Kurosawa’s finest achievements.	/sightandsoundpolls/2012/film/4ce2b6ace592f
127	Three Colours: Blue (1993)	Krzysztof Kieslowski		/sightandsoundpolls/2012/film/4ce2b7c1b61df
127	Don't Look Now (1973)	Nicolas Roeg	Set in off-season Venice, British director Nicolas Roeg’s tragedy combines an acute study of grief with a supernaturally charged thriller plot, to beautiful and devastating effect.	/sightandsoundpolls/2012/film/4ce2b6a91da80
127	Celine and Julie Go Boating (1974)	Jacques Rivette		/sightandsoundpolls/2012/film/4ce2b6fe03642
127	Annie Hall (1977)	Woody Allen	Woody Allen’s breakthrough as a ‘serious’ filmmaker is a sublimely funny romantic comedy about an overly anxious comedian’s relationship with Diane Keaton’s ditzy eccentric.	/sightandsoundpolls/2012/film/4ce2b6bc053b7
127	Apartment, The (1960)	Billy Wilder	In Wilder’s Oscar-winning comedy, Jack Lemmon plays an office worker who lends his apartment to adulterous superiors in order to get ahead.	/sightandsoundpolls/2012/film/4ce2b6c010eb7
127	Last Laugh, The (1924)	F. W. Murnau		/sightandsoundpolls/2012/film/4ce2b7916e67e
127	Hiroshima Mon Amour (1959)	Alain Resnais		/sightandsoundpolls/2012/film/4ce2b6ac59a0b
144	Blow Up (1966)	Michelangelo Antonioni	The refined visual style of Italian maestro Michelangelo Antonioni collides with swinging 60s London in this story of a man who may have unwittingly photographed a murder.	/sightandsoundpolls/2012/film/4ce2b6f695fc4
144	Great Dictator, The (1940)	Charles Chaplin		/sightandsoundpolls/2012/film/4ce2b6bbbae8c
144	Memories of Underdevelopment (1968)	Tomás Gutiérrez Alea		/sightandsoundpolls/2012/film/4ce2b6b03bb00
144	Diary of a Country Priest (1951)	Robert Bresson		/sightandsoundpolls/2012/film/4ce2b6adac471
144	Chungking Express (1994)	Wong Kar Wai		/sightandsoundpolls/2012/film/4ce2b7dda7007
144	To Be or Not To Be (1942)	Ernst Lubitsch		/sightandsoundpolls/2012/film/4ce2b779dd367
144	Woman Under the Influence, A (1974)	John Cassavetes		/sightandsoundpolls/2012/film/4ce2b6bb2414d
144	Napoleon (1927)	Abel Gance		/sightandsoundpolls/2012/film/4ce2b6b13ea6d
144	Vivre Sa Vie (1962)	Jean-Luc Godard	Jean-Luc Godard’s fourth feature – his third with wife and muse Anna Karina – charts in 12 tableaux a would-be actress’s descent into prostitution.	/sightandsoundpolls/2012/film/4ce2b6ba057c9
144	Wizard of Oz, The (1939)	Victor Fleming	Whisked by a tornado from Kansas to the colourful Land of Oz, Dorothy soon learns there’s no place like home in MGM’s immortal musical fantasy.	/sightandsoundpolls/2012/film/4ce2b6bb09360
154	Marketa Lazarová (1967)	Frantisek Vlácil		/sightandsoundpolls/2012/film/4ce2b740d3924
154	Hidden (2004)	Michael Haneke		/sightandsoundpolls/2012/film/4ce2b8b17e6c2
154	Shining, The (1980)	Stanley Kubrick		/sightandsoundpolls/2012/film/4ce2b6bf360f4
154	Solaris (1972)	Andrei Tarkovsky		/sightandsoundpolls/2012/film/4ce2b6b657a6a
154	Chimes at Midnight (1966)	Orson Welles		/sightandsoundpolls/2012/film/4ce2b6a70cd80
154	Gold Rush, The (1925)	Charles Chaplin		/sightandsoundpolls/2012/film/4ce2b6bbbab86
154	Letter From an Unknown Woman (1948)	Max Ophüls	Max Ophuls brought his trademark flowing camera style and a taste of the old Vienna to Hollywood for this tragic story of unrequited love.	/sightandsoundpolls/2012/film/4ce2b6aec1d37
154	Brief Encounter (1945)	David Lean	Turbulent passion and middle-class restraint combine in uniquely English style when a married woman falls for a doctor she meets at a railway station.	/sightandsoundpolls/2012/film/4ce2b6a66b375
154	In a Lonely Place (1950)	Nicholas Ray		/sightandsoundpolls/2012/film/4ce2b6ad0c120
154	Black Narcissus (1947)	Michael Powell/Emeric Pressburger		/sightandsoundpolls/2012/film/4ce2b6a5551ac
154	My Neighbour Totoro (1988)	Miyazaki Hayao		/sightandsoundpolls/2012/film/4ce2b7c847246
154	Only Angels Have Wings (1939)	Howard Hawks		/sightandsoundpolls/2012/film/4ce2b6b22e4cd
